80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,67,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0
1,0,42,0,0,0,1,1,0,0,1,10,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,2,1,0,0,1,0,0,9,0,0,1,0,1,0,0,0,1,1,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0,0,0,27,7,0,1,0,0,0,0,0,1,0,0,1,0,0,1,9,0,5,0,0,0,0,0,0,1,0,2,4,2,0,3,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,2,1,0,0,0,2,0,0,1,1,0,0,0,1,1,1,2,1,0,0,0,0,3,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0
0,0,0,4,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,2,2,1,3,1,0,0,0,0,1,0,7,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,2,1
0,1,0,0,0,37,1,0,1,0,0,0,4,3,0,0,0,0,1,0,10,0,1,0,0,13,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,1,0,59,2,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,4,0,1,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,2,63,1,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,59,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,7,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,54,0,3,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,0,1,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,25,1,0,0,1,1,1,0,0,0,1,0,7,1,0,1,1,0,6,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,2,1,0,0,11,2,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,1,1,0,0,0,0
0,0,9,0,0,1,0,0,0,3,0,39,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,13,2,0,1,1,0,0,0,0,0,1,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,0,2,0,0,1,46,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,4,0,1,0,3,3,0,0,0,0,0,1,1,0,0
0,2,0,1,1,0,3,5,0,1,3,1,0,0,38,1,0,0,6,0,0,1,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,0,0,2,1,2,2,1,0,0,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,56,1,4,0,3,0,0,0,0,1,0,0,0,0,3,0,6,0,0,1,2,0,0,3,1,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,1,0,0,2,0,1,0,2,4,3,0,0,0,0,60,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,2,1,0,0,0,0,0,0,4,0,0,0,46,0,0,0,1,0,0,0,1,1,2,0,1,0,0,2,0,1,0,1,1,0,1,1,0,0,2,2,0,0,0,0,1,2,0,0,1,3,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,1,0,0,0,2,0,3,0,1,0,0,0,2
0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,6,0,0,1,44,0,2,0,0,1,0,1,0,0,2,0,4,1,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,4,0,0,0,2,1,0,0,2,0,2,0,0,0,0
1,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,1,0,0,0,75,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
